domain,country,provider_type,provider,count
de.ebmpapst.com,unknown,1.0,0,
unileoben.ac.at,Austria,2.0,Montanuniversität Leoben,
diakonie-baden.de,unknown,1.0,0,
dhbw-loerrach.de,Germany,2.0,DHBW,
iubh-fernstudium.de,unknown,1.0,0,
neponet.de,unknown,1.0,0,
zf.com,unknown,1.0,0,
hs-kl.de,Germany,2.0,Hochschule Kaiserslautern,
dreso.com,unknown,1.0,0,
zv.fraunhofer.de,unknown,1.0,0,
tuta.io,unknown,1.0,0,
bridging-it.de,unknown,1.0,0,
hspv.nrw.de,Germany,2.0,Hochschule für Polizei und öffentliche Verwaltung NRW,
haufe-akademie.de,unknown,1.0,0,
akadgym.at,unknown,1.0,0,
ok.de,unknown,1.0,0,
schule.hessen.de,unknown,1.0,0,
wuerth-industrie.com,unknown,1.0,0,
dhbw-mannheim.de,Germany,2.0,DHBW,
wp.pl,unknown,0.0,0.0,
t-systems.com,unknown,1.0,0,
nordakademie.de,Germany,2.0,Nordakademie Hochschule der Wirtschaft,
mg-oberfranken.de,unknown,1.0,0,
ualberta.ca,Canada,2.0,University of Alberta,
outlook.fr,unknown,0.0,0.0,
uk-essen.de,unknown,1.0,0,
amu.uni-augsburg.de,Germany,2.0,Universität Augsburg,
stud.hs-bremen.de,Germany,2.0,Hochschule Bremen,
stimme-mediengruppe.de,unknown,1.0,0,
iese.fraunhofer.de,unknown,1.0,0,
iqsh.de,unknown,1.0,0,
fh-bielefeld.de,Germany,2.0,FH Bielefeld,
pwc.com,unknown,1.0,0,
duesseldorf.de,unknown,1.0,0,
haw-landshut.de,Germany,2.0,Hochschule Landshut,
tk.de,unknown,1.0,0,
thws.de,Germany,2.0,TH Würzburg-Schweinfurt,
physik.hu-berlin.de,Germany,2.0,HU Berlin,
koerber-stiftung.de,unknown,1.0,0,
uni-trier.de,Germany,2.0,Universität Trier,
zbw.eu,unknown,1.0,0,
volkswagen.de,unknown,1.0,0,
ctm-com.de,unknown,1.0,0,
datenschutz-nord.de,unknown,1.0,0,
orange.fr,unknown,0.0,0.0,
training.lug-ag.de,unknown,1.0,0,
hochschule-rhein-waal.de,Germany,2.0,Hochschule Rhein-Waal,
fn.de,unknown,1.0,0,
macromedia.de,unknown,1.0,0,
foxmail.com,unknown,0.0,0.0,
esg-bretten.de,unknown,1.0,0,
oks.de,unknown,1.0,0,
abv.bg,unknown,0.0,0.0,
ffhs.ch,Switzerland,2.0,FFHS - Fernfachhochschule Schweiz,
fh-westkueste.de,Germany,2.0,FH Westküste,
bbs-technik-koblenz.de,unknown,1.0,0,
huawei.com,unknown,1.0,0,
l3s.de,unknown,1.0,0,
bundestag.de,unknown,1.0,0,
thu.de,unknown,1.0,0,
ukr.net,unknown,0.0,0.0,
